,location,age_start,age_end,affected_outcome,lower,median,upper,location_id,national_id
0,Abia,0.5,0.833333333,mam_to_sam_rate,0.05,0.19,0.63,25318,214
1,Abia,0.5,0.833333333,mild_to_mam_rate,0.29,0.49,0.81,25318,214
2,Abia,0.5,0.833333333,tmrel_to_mild_rate,0.63,0.73,0.89,25318,214
3,Abia,0.833333333,1.5,mam_to_sam_rate,0.67,0.77,0.88,25318,214
4,Abia,0.833333333,1.5,mild_to_mam_rate,0.8,0.87,0.94,25318,214
5,Abia,0.833333333,1.5,tmrel_to_mild_rate,0.83,0.88,0.96,25318,214
6,Abia,0,5,moderate_stunting_prevalence_ratio,0.86,0.89,0.93,25318,214
7,Abia,0,5,severe_stunting_prevalence_ratio,0.78,0.83,0.9,25318,214
8,Adamawa,0.5,0.833333333,mam_to_sam_rate,0.05,0.31,0.69,25319,214
9,Adamawa,0.5,0.833333333,mild_to_mam_rate,0.53,0.69,0.89,25319,214
10,Adamawa,0.5,0.833333333,tmrel_to_mild_rate,0.75,0.83,0.93,25319,214
11,Adamawa,0.833333333,1.5,mam_to_sam_rate,0.66,0.77,0.87,25319,214
12,Adamawa,0.833333333,1.5,mild_to_mam_rate,0.82,0.88,0.95,25319,214
13,Adamawa,0.833333333,1.5,tmrel_to_mild_rate,0.85,0.9,0.96,25319,214
14,Adamawa,0,5,moderate_stunting_prevalence_ratio,0.86,0.89,0.93,25319,214
15,Adamawa,0,5,severe_stunting_prevalence_ratio,0.78,0.83,0.9,25319,214
16,Addis Ababa,0.5,0.833333333,mam_to_sam_rate,0.05,0.35,0.71,44861,179
17,Addis Ababa,0.5,0.833333333,mild_to_mam_rate,0.57,0.73,0.89,44861,179
18,Addis Ababa,0.5,0.833333333,tmrel_to_mild_rate,0.75,0.83,0.95,44861,179
19,Addis Ababa,0.833333333,1.5,mam_to_sam_rate,0.68,0.78,0.89,44861,179
20,Addis Ababa,0.833333333,1.5,mild_to_mam_rate,0.85,0.91,0.97,44861,179
21,Addis Ababa,0.833333333,1.5,tmrel_to_mild_rate,0.88,0.92,0.98,44861,179
22,Addis Ababa,0,5,moderate_stunting_prevalence_ratio,0.86,0.89,0.93,44861,179
23,Addis Ababa,0,5,severe_stunting_prevalence_ratio,0.78,0.83,0.9,44861,179
24,Afar,0.5,0.833333333,mam_to_sam_rate,0.05,0.33,0.69,44853,179
25,Afar,0.5,0.833333333,mild_to_mam_rate,0.49,0.69,0.89,44853,179
26,Afar,0.5,0.833333333,tmrel_to_mild_rate,0.45,0.63,0.87,44853,179
27,Afar,0.833333333,1.5,mam_to_sam_rate,0.7,0.8,0.92,44853,179
28,Afar,0.833333333,1.5,mild_to_mam_rate,0.81,0.87,0.94,44853,179
29,Afar,0.833333333,1.5,tmrel_to_mild_rate,0.8,0.87,0.97,44853,179
30,Afar,0,5,moderate_stunting_prevalence_ratio,0.86,0.89,0.93,44853,179
31,Afar,0,5,severe_stunting_prevalence_ratio,0.78,0.83,0.9,44853,179
32,Akwa Ibom,0.5,0.833333333,mam_to_sam_rate,0.05,0.17,0.65,25320,214
33,Akwa Ibom,0.5,0.833333333,mild_to_mam_rate,0.29,0.47,0.81,25320,214
34,Akwa Ibom,0.5,0.833333333,tmrel_to_mild_rate,0.65,0.75,0.89,25320,214
35,Akwa Ibom,0.833333333,1.5,mam_to_sam_rate,0.67,0.78,0.89,25320,214
36,Akwa Ibom,0.833333333,1.5,mild_to_mam_rate,0.79,0.87,0.94,25320,214
37,Akwa Ibom,0.833333333,1.5,tmrel_to_mild_rate,0.84,0.89,0.96,25320,214
38,Akwa Ibom,0,5,moderate_stunting_prevalence_ratio,0.86,0.89,0.93,25320,214
39,Akwa Ibom,0,5,severe_stunting_prevalence_ratio,0.78,0.83,0.9,25320,214
40,Amhara,0.5,0.833333333,mam_to_sam_rate,0.05,0.37,0.71,44854,179
41,Amhara,0.5,0.833333333,mild_to_mam_rate,0.61,0.75,0.91,44854,179
42,Amhara,0.5,0.833333333,tmrel_to_mild_rate,0.75,0.83,0.93,44854,179
43,Amhara,0.833333333,1.5,mam_to_sam_rate,0.68,0.79,0.9,44854,179
44,Amhara,0.833333333,1.5,mild_to_mam_rate,0.85,0.91,0.96,44854,179
45,Amhara,0.833333333,1.5,tmrel_to_mild_rate,0.85,0.9,0.97,44854,179
46,Amhara,0,5,moderate_stunting_prevalence_ratio,0.86,0.89,0.93,44854,179
47,Amhara,0,5,severe_stunting_prevalence_ratio,0.78,0.83,0.9,44854,179
48,Anambra,0.5,0.833333333,mam_to_sam_rate,0.05,0.21,0.65,25321,214
49,Anambra,0.5,0.833333333,mild_to_mam_rate,0.43,0.61,0.85,25321,214
50,Anambra,0.5,0.833333333,tmrel_to_mild_rate,0.73,0.81,0.93,25321,214
51,Anambra,0.833333333,1.5,mam_to_sam_rate,0.68,0.78,0.89,25321,214
52,Anambra,0.833333333,1.5,mild_to_mam_rate,0.82,0.88,0.95,25321,214
53,Anambra,0.833333333,1.5,tmrel_to_mild_rate,0.86,0.9,0.97,25321,214
54,Anambra,0,5,moderate_stunting_prevalence_ratio,0.86,0.89,0.93,25321,214
55,Anambra,0,5,severe_stunting_prevalence_ratio,0.78,0.83,0.9,25321,214
56,Azad Jammu & Kashmir,0.5,0.833333333,mam_to_sam_rate,0.09,0.39,0.71,53615,165
57,Azad Jammu & Kashmir,0.5,0.833333333,mild_to_mam_rate,0.61,0.75,0.91,53615,165
58,Azad Jammu & Kashmir,0.5,0.833333333,tmrel_to_mild_rate,0.45,0.63,0.87,53615,165
59,Azad Jammu & Kashmir,0.833333333,1.5,mam_to_sam_rate,0.67,0.8,0.88,53615,165
60,Azad Jammu & Kashmir,0.833333333,1.5,mild_to_mam_rate,0.93,0.9,0.97,53615,165
61,Azad Jammu & Kashmir,0.833333333,1.5,tmrel_to_mild_rate,0.92,0.9,0.97,53615,165
62,Azad Jammu & Kashmir,0,5,moderate_stunting_prevalence_ratio,0.86,0.89,0.93,53615,165
63,Azad Jammu & Kashmir,0,5,severe_stunting_prevalence_ratio,0.78,0.83,0.9,53615,165
64,Balochistan,0.5,0.833333333,mam_to_sam_rate,0.05,0.05,0.29,53616,165
65,Balochistan,0.5,0.833333333,mild_to_mam_rate,0.07,0.29,0.61,53616,165
66,Balochistan,0.5,0.833333333,tmrel_to_mild_rate,0.45,0.57,0.77,53616,165
67,Balochistan,0.833333333,1.5,mam_to_sam_rate,0.7,0.81,0.93,53616,165
68,Balochistan,0.833333333,1.5,mild_to_mam_rate,0.86,0.92,0.97,53616,165
69,Balochistan,0.833333333,1.5,tmrel_to_mild_rate,0.77,0.84,0.93,53616,165
70,Balochistan,0,5,moderate_stunting_prevalence_ratio,0.86,0.89,0.93,53616,165
71,Balochistan,0,5,severe_stunting_prevalence_ratio,0.78,0.83,0.9,53616,165
72,Bauchi,0.5,0.833333333,mam_to_sam_rate,0.05,0.27,0.69,25322,214
73,Bauchi,0.5,0.833333333,mild_to_mam_rate,0.49,0.65,0.87,25322,214
74,Bauchi,0.5,0.833333333,tmrel_to_mild_rate,0.71,0.79,0.93,25322,214
75,Bauchi,0.833333333,1.5,mam_to_sam_rate,0.65,0.75,0.86,25322,214
76,Bauchi,0.833333333,1.5,mild_to_mam_rate,0.8,0.87,0.93,25322,214
77,Bauchi,0.833333333,1.5,tmrel_to_mild_rate,0.82,0.87,0.94,25322,214
78,Bauchi,0,5,moderate_stunting_prevalence_ratio,0.86,0.89,0.93,25322,214
79,Bauchi,0,5,severe_stunting_prevalence_ratio,0.78,0.83,0.9,25322,214
80,Bayelsa,0.5,0.833333333,mam_to_sam_rate,0.05,0.33,0.71,25323,214
81,Bayelsa,0.5,0.833333333,mild_to_mam_rate,0.55,0.71,0.89,25323,214
82,Bayelsa,0.5,0.833333333,tmrel_to_mild_rate,0.79,0.85,0.95,25323,214
83,Bayelsa,0.833333333,1.5,mam_to_sam_rate,0.68,0.79,0.9,25323,214
84,Bayelsa,0.833333333,1.5,mild_to_mam_rate,0.84,0.9,0.96,25323,214
85,Bayelsa,0.833333333,1.5,tmrel_to_mild_rate,0.87,0.91,0.97,25323,214
86,Bayelsa,0,5,moderate_stunting_prevalence_ratio,0.86,0.89,0.93,25323,214
87,Bayelsa,0,5,severe_stunting_prevalence_ratio,0.78,0.83,0.9,25323,214
88,Benishangul-Gumuz,0.5,0.833333333,mam_to_sam_rate,0.05,0.29,0.67,44857,179
89,Benishangul-Gumuz,0.5,0.833333333,mild_to_mam_rate,0.61,0.75,0.91,44857,179
90,Benishangul-Gumuz,0.5,0.833333333,tmrel_to_mild_rate,0.73,0.81,0.93,44857,179
91,Benishangul-Gumuz,0.833333333,1.5,mam_to_sam_rate,0.68,0.78,0.89,44857,179
92,Benishangul-Gumuz,0.833333333,1.5,mild_to_mam_rate,0.84,0.9,0.96,44857,179
93,Benishangul-Gumuz,0.833333333,1.5,tmrel_to_mild_rate,0.84,0.89,0.97,44857,179
94,Benishangul-Gumuz,0,5,moderate_stunting_prevalence_ratio,0.86,0.89,0.93,44857,179
95,Benishangul-Gumuz,0,5,severe_stunting_prevalence_ratio,0.78,0.83,0.9,44857,179
96,Benue,0.5,0.833333333,mam_to_sam_rate,0.05,0.31,0.69,25324,214
97,Benue,0.5,0.833333333,mild_to_mam_rate,0.55,0.71,0.89,25324,214
98,Benue,0.5,0.833333333,tmrel_to_mild_rate,0.77,0.83,0.93,25324,214
99,Benue,0.833333333,1.5,mam_to_sam_rate,0.67,0.77,0.89,25324,214
100,Benue,0.833333333,1.5,mild_to_mam_rate,0.83,0.89,0.96,25324,214
101,Benue,0.833333333,1.5,tmrel_to_mild_rate,0.87,0.91,0.97,25324,214
