,effect_size,location,age_start,age_end,affected_outcome,lower,median,upper,location_id,national_id
0,standard,Abia,0.5,0.833333333,mam_to_sam_rate,0.05,0.19,0.63,25318,214
1,standard,Abia,0.5,0.833333333,mild_to_mam_rate,0.29,0.49,0.81,25318,214
2,standard,Abia,0.5,0.833333333,tmrel_to_mild_rate,0.63,0.73,0.89,25318,214
3,standard,Abia,0.833333333,1.5,mam_to_sam_rate,0.67,0.77,0.88,25318,214
4,standard,Abia,0.833333333,1.5,mild_to_mam_rate,0.8,0.87,0.94,25318,214
5,standard,Abia,0.833333333,1.5,tmrel_to_mild_rate,0.83,0.88,0.96,25318,214
6,standard,Abia,0,5,moderate_stunting_prevalence_ratio,0.86,0.89,0.93,25318,214
7,standard,Abia,0,5,severe_stunting_prevalence_ratio,0.78,0.83,0.9,25318,214
8,standard,Adamawa,0.5,0.833333333,mam_to_sam_rate,0.05,0.31,0.69,25319,214
9,standard,Adamawa,0.5,0.833333333,mild_to_mam_rate,0.53,0.69,0.89,25319,214
10,standard,Adamawa,0.5,0.833333333,tmrel_to_mild_rate,0.75,0.83,0.93,25319,214
11,standard,Adamawa,0.833333333,1.5,mam_to_sam_rate,0.66,0.77,0.87,25319,214
12,standard,Adamawa,0.833333333,1.5,mild_to_mam_rate,0.82,0.88,0.95,25319,214
13,standard,Adamawa,0.833333333,1.5,tmrel_to_mild_rate,0.85,0.9,0.96,25319,214
14,standard,Adamawa,0,5,moderate_stunting_prevalence_ratio,0.86,0.89,0.93,25319,214
15,standard,Adamawa,0,5,severe_stunting_prevalence_ratio,0.78,0.83,0.9,25319,214
16,standard,Addis Ababa,0.5,0.833333333,mam_to_sam_rate,0.05,0.35,0.71,44861,179
17,standard,Addis Ababa,0.5,0.833333333,mild_to_mam_rate,0.57,0.73,0.89,44861,179
18,standard,Addis Ababa,0.5,0.833333333,tmrel_to_mild_rate,0.75,0.83,0.95,44861,179
19,standard,Addis Ababa,0.833333333,1.5,mam_to_sam_rate,0.68,0.78,0.89,44861,179
20,standard,Addis Ababa,0.833333333,1.5,mild_to_mam_rate,0.85,0.91,0.97,44861,179
21,standard,Addis Ababa,0.833333333,1.5,tmrel_to_mild_rate,0.88,0.92,0.98,44861,179
22,standard,Addis Ababa,0,5,moderate_stunting_prevalence_ratio,0.86,0.89,0.93,44861,179
23,standard,Addis Ababa,0,5,severe_stunting_prevalence_ratio,0.78,0.83,0.9,44861,179
24,standard,Afar,0.5,0.833333333,mam_to_sam_rate,0.05,0.33,0.69,44853,179
25,standard,Afar,0.5,0.833333333,mild_to_mam_rate,0.49,0.69,0.89,44853,179
26,standard,Afar,0.5,0.833333333,tmrel_to_mild_rate,0.45,0.63,0.87,44853,179
27,standard,Afar,0.833333333,1.5,mam_to_sam_rate,0.7,0.8,0.92,44853,179
28,standard,Afar,0.833333333,1.5,mild_to_mam_rate,0.81,0.87,0.94,44853,179
29,standard,Afar,0.833333333,1.5,tmrel_to_mild_rate,0.8,0.87,0.97,44853,179
30,standard,Afar,0,5,moderate_stunting_prevalence_ratio,0.86,0.89,0.93,44853,179
31,standard,Afar,0,5,severe_stunting_prevalence_ratio,0.78,0.83,0.9,44853,179
32,standard,Akwa Ibom,0.5,0.833333333,mam_to_sam_rate,0.05,0.17,0.65,25320,214
33,standard,Akwa Ibom,0.5,0.833333333,mild_to_mam_rate,0.29,0.47,0.81,25320,214
34,standard,Akwa Ibom,0.5,0.833333333,tmrel_to_mild_rate,0.65,0.75,0.89,25320,214
35,standard,Akwa Ibom,0.833333333,1.5,mam_to_sam_rate,0.67,0.78,0.89,25320,214
36,standard,Akwa Ibom,0.833333333,1.5,mild_to_mam_rate,0.79,0.87,0.94,25320,214
37,standard,Akwa Ibom,0.833333333,1.5,tmrel_to_mild_rate,0.84,0.89,0.96,25320,214
38,standard,Akwa Ibom,0,5,moderate_stunting_prevalence_ratio,0.86,0.89,0.93,25320,214
39,standard,Akwa Ibom,0,5,severe_stunting_prevalence_ratio,0.78,0.83,0.9,25320,214
40,standard,Amhara,0.5,0.833333333,mam_to_sam_rate,0.05,0.37,0.71,44854,179
41,standard,Amhara,0.5,0.833333333,mild_to_mam_rate,0.61,0.75,0.91,44854,179
42,standard,Amhara,0.5,0.833333333,tmrel_to_mild_rate,0.75,0.83,0.93,44854,179
43,standard,Amhara,0.833333333,1.5,mam_to_sam_rate,0.68,0.79,0.9,44854,179
44,standard,Amhara,0.833333333,1.5,mild_to_mam_rate,0.85,0.91,0.96,44854,179
45,standard,Amhara,0.833333333,1.5,tmrel_to_mild_rate,0.85,0.9,0.97,44854,179
46,standard,Amhara,0,5,moderate_stunting_prevalence_ratio,0.86,0.89,0.93,44854,179
47,standard,Amhara,0,5,severe_stunting_prevalence_ratio,0.78,0.83,0.9,44854,179
48,standard,Anambra,0.5,0.833333333,mam_to_sam_rate,0.05,0.21,0.65,25321,214
49,standard,Anambra,0.5,0.833333333,mild_to_mam_rate,0.43,0.61,0.85,25321,214
50,standard,Anambra,0.5,0.833333333,tmrel_to_mild_rate,0.73,0.81,0.93,25321,214
51,standard,Anambra,0.833333333,1.5,mam_to_sam_rate,0.68,0.78,0.89,25321,214
52,standard,Anambra,0.833333333,1.5,mild_to_mam_rate,0.82,0.88,0.95,25321,214
53,standard,Anambra,0.833333333,1.5,tmrel_to_mild_rate,0.86,0.9,0.97,25321,214
